r_best,r_max,r_top,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
5.696485936641693115e-02,5.696485936641693115e-02,2.055529505014419556e-02,9.768985211849212646e-03,2.662028931081295013e-02,1.695636367797851562e+01,1.616363716125488281e+01,1.331014465540647507e-02,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.653667688369750977e+00,1.608229517936706543e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.331014465540647507e-02,1.714127807617187500e+02
5.696485936641693115e-02,2.408777363598346710e-02,1.126308087259531021e-02,5.366559606045484543e-03,1.435686741024255753e-02,1.528363609313964844e+01,1.398214244842529297e+01,1.383350603282451630e-02,5.500000000000000000e+02,5.600000000000000000e+01,5.500000000000000000e+02,5.600000000000000000e+01,1.487761735916137695e+00,1.448443293571472168e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.383350603282451630e-02,3.619059753417968750e+02
5.696485936641693115e-02,4.639845713973045349e-02,1.241020392626523972e-02,6.705158390104770660e-03,1.681350171566009521e-02,1.751454544067382812e+01,1.592727279663085938e+01,1.532350387424230576e-02,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.601497173309326172e+00,1.546325325965881348e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.532350387424230576e-02,5.878985595703125000e+02
5.696485936641693115e-02,2.655884623527526855e-02,1.414624974131584167e-02,7.376820780336856842e-03,1.734023541212081909e-02,1.640909004211425781e+01,1.474545478820800781e+01,1.633187010884284973e-02,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.542219519615173340e+00,1.415215492248535156e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.633187010884284973e-02,7.793806152343750000e+02
5.696485936641693115e-02,2.593800611793994904e-02,1.404561940580606461e-02,7.716875988990068436e-03,1.666956208646297455e-02,1.568181800842285156e+01,1.460000038146972656e+01,1.650071516633033752e-02,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.497663736343383789e+00,1.471491575241088867e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.650071516633033752e-02,9.838999023437500000e+02
5.696485936641693115e-02,2.904549241065979004e-02,1.574677415192127228e-02,8.277657441794872284e-03,1.907797344028949738e-02,1.463454532623291016e+01,1.396363639831542969e+01,1.778934523463249207e-02,5.490000000000000000e+02,5.500000000000000000e+01,5.480000000000000000e+02,5.500000000000000000e+01,1.413482189178466797e+00,6.499999761581420898e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.778934523463249207e-02,1.193160644531250000e+03
5.696485936641693115e-02,3.147860243916511536e-02,1.670731790363788605e-02,8.545907214283943176e-03,1.996922120451927185e-02,1.402000045776367188e+01,1.323636341094970703e+01,1.887928321957588196e-02,5.470000000000000000e+02,5.400000000000000000e+01,5.420000000000000000e+02,5.300000000000000000e+01,1.366627931594848633e+00,6.999999880790710449e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.887928321957588196e-02,1.434243286132812500e+03
5.696485936641693115e-02,2.971478737890720367e-02,1.584309898316860199e-02,8.893395774066448212e-03,1.946132257580757141e-02,1.435272693634033203e+01,1.358181858062744141e+01,1.917030289769172668e-02,5.450000000000000000e+02,5.400000000000000000e+01,5.390000000000000000e+02,5.300000000000000000e+01,1.242442607879638672e+00,1.101021885871887207e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.917030289769172668e-02,1.620265747070312500e+03
5.696485936641693115e-02,3.079383634030818939e-02,1.694397069513797760e-02,8.825555443763732910e-03,2.133887819945812225e-02,1.366545486450195312e+01,1.256666660308837891e+01,2.025459147989749908e-02,5.410000000000000000e+02,5.900000000000000000e+01,5.220000000000000000e+02,5.400000000000000000e+01,1.182994365692138672e+00,6.999999880790710449e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.025459147989749908e-02,1.825256347656250000e+03
1.753941178321838379e-01,1.753941178321838379e-01,1.411197427660226822e-02,7.867896929383277893e-03,2.180195972323417664e-02,1.427454566955566406e+01,1.392727279663085938e+01,2.102827467024326324e-02,5.480000000000000000e+02,5.500000000000000000e+01,5.350000000000000000e+02,5.500000000000000000e+01,1.321922898292541504e+00,6.499999761581420898e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.102827467024326324e-02,2.011439453125000000e+03
1.753941178321838379e-01,1.926281861960887909e-02,1.218057516962289810e-02,6.360083352774381638e-03,1.424638926982879639e-02,1.638181877136230469e+01,1.567272758483886719e+01,1.763733290135860443e-02,5.500000000000000000e+02,5.500000000000000000e+01,5.470000000000000000e+02,5.400000000000000000e+01,1.439611792564392090e+00,1.298231124877929688e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.763733290135860443e-02,2.229572998046875000e+03
1.753941178321838379e-01,3.148116543889045715e-02,1.380834914743900299e-02,7.669515442103147507e-03,1.689779572188854218e-02,1.581999969482421875e+01,1.498214244842529297e+01,1.726756431162357330e-02,5.500000000000000000e+02,5.600000000000000000e+01,5.470000000000000000e+02,5.500000000000000000e+01,1.439365029335021973e+00,1.368507504463195801e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.726756431162357330e-02,2.426760742187500000e+03
1.753941178321838379e-01,3.271781653165817261e-02,1.563268154859542847e-02,8.136884309351444244e-03,1.907362416386604309e-02,1.506545448303222656e+01,1.409090900421142578e+01,1.817059330642223358e-02,5.480000000000000000e+02,5.500000000000000000e+01,5.400000000000000000e+02,5.500000000000000000e+01,1.325814247131347656e+00,1.172228455543518066e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.817059330642223358e-02,2.622099853515625000e+03
1.753941178321838379e-01,3.369242697954177856e-02,1.771135441958904266e-02,9.474068880081176758e-03,2.125767432153224945e-02,1.409636402130126953e+01,1.328333377838134766e+01,1.971413381397724152e-02,5.360000000000000000e+02,5.600000000000000000e+01,4.870000000000000000e+02,5.100000000000000000e+01,1.192145228385925293e+00,9.394500255584716797e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.971413381397724152e-02,2.814793945312500000e+03
1.753941178321838379e-01,3.474803268909454346e-02,2.253821119666099548e-02,1.253662817180156708e-02,2.734302356839179993e-02,1.349454498291015625e+01,1.236206912994384766e+01,2.352857962250709534e-02,5.150000000000000000e+02,5.500000000000000000e+01,4.420000000000000000e+02,4.100000000000000000e+01,1.144248723983764648e+00,9.694780707359313965e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.352857962250709534e-02,3.027735107421875000e+03
1.753941178321838379e-01,3.342289105057716370e-02,1.924090646207332611e-02,1.083373092114925385e-02,2.416903339326381683e-02,1.369090938568115234e+01,1.267857170104980469e+01,2.384880557656288147e-02,5.430000000000000000e+02,5.500000000000000000e+01,4.930000000000000000e+02,4.900000000000000000e+01,1.232544660568237305e+00,1.041038274765014648e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.384880557656288147e-02,3.227976806640625000e+03
1.753941178321838379e-01,3.469708189368247986e-02,2.026634477078914642e-02,1.144000608474016190e-02,2.669634483754634857e-02,1.319454574584960938e+01,1.214035129547119141e+01,2.527257613837718964e-02,5.300000000000000000e+02,5.400000000000000000e+01,4.750000000000000000e+02,4.400000000000000000e+01,1.095113515853881836e+00,8.694873452186584473e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.527257613837718964e-02,3.435879638671875000e+03
1.753941178321838379e-01,3.796763718128204346e-02,2.201859094202518463e-02,1.277344860136508942e-02,2.961481548845767975e-02,1.309636402130126953e+01,1.218965530395507812e+01,2.744369581341743469e-02,5.370000000000000000e+02,5.800000000000000000e+01,4.440000000000000000e+02,4.800000000000000000e+01,1.121637582778930664e+00,9.163880348205566406e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.744369581341743469e-02,3.623069335937500000e+03
1.753941178321838379e-01,2.436037734150886536e-02,1.416660565882921219e-02,6.828041747212409973e-03,1.738052442669868469e-02,1.464000034332275391e+01,1.394736862182617188e+01,2.241211012005805969e-02,5.490000000000000000e+02,5.700000000000000000e+01,5.450000000000000000e+02,5.600000000000000000e+01,1.473987340927124023e+00,1.376921534538269043e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.241211012005805969e-02,3.811356933593750000e+03
1.753941178321838379e-01,2.641651965677738190e-02,1.362999901175498962e-02,6.170853506773710251e-03,1.651203446090221405e-02,1.481999969482421875e+01,1.424561405181884766e+01,1.946207135915756226e-02,5.480000000000000000e+02,5.600000000000000000e+01,5.310000000000000000e+02,5.300000000000000000e+01,1.533372640609741211e+00,1.404165983200073242e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.946207135915756226e-02,4.030719238281250000e+03
1.753941178321838379e-01,3.843747451901435852e-02,1.692576892673969269e-02,7.928680628538131714e-03,2.019096538424491882e-02,1.434727287292480469e+01,1.347272682189941406e+01,1.982651837170124054e-02,5.450000000000000000e+02,5.500000000000000000e+01,5.120000000000000000e+02,4.800000000000000000e+01,1.486414551734924316e+00,1.318450331687927246e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.982651837170124054e-02,4.261312500000000000e+03
1.753941178321838379e-01,3.874357044696807861e-02,2.085362002253532410e-02,1.155044045299291611e-02,2.594546228647232056e-02,1.410181808471679688e+01,1.301818180084228516e+01,2.288599126040935516e-02,5.430000000000000000e+02,5.400000000000000000e+01,4.930000000000000000e+02,5.100000000000000000e+01,1.424020409584045410e+00,7.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.288599126040935516e-02,4.489795898437500000e+03
1.753941178321838379e-01,3.765372931957244873e-02,2.314405702054500580e-02,1.313168182969093323e-02,3.208000957965850830e-02,1.351818180084228516e+01,1.241818141937255859e+01,2.748299948871135712e-02,5.310000000000000000e+02,5.200000000000000000e+01,4.440000000000000000e+02,3.700000000000000000e+01,1.316353440284729004e+00,1.066803097724914551e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.748299948871135712e-02,4.722108398437500000e+03
