complexity,r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success
12,0.7224166807595935,0,1,[((x1 + x2)**2 + (x5 + x6)**2)**8],"n2,n2,n2,add,n2,add,x2,x1,n2,add,x6,x5",10.0,10.0,False
13,0.7288081589544313,0,1,[(x3**4 + (x6 + (x1 + x2)**2)**2)**4],"n2,n2,add,n2,add,n2,add,x1,x2,x6,n2,n2,x3",10.0,10.0,False
14,0.7954176899262886,0,1,[(x4**2 + x5 + x6 + (x1 + x2)**2)**8],"n2,n2,n2,add,add,x5,x6,add,n2,add,x1,x2,n2,x4",10.0,10.0,False
15,0.8157604240022983,0,1,[((x4**2 + x5)**2 + (x6 + (x1 + x2)**2)**2)**4],"n2,n2,add,n2,add,x5,n2,x4,n2,add,n2,add,x2,x1,x6",10.0,10.0,False
16,0.8272963240497597,0,1,[(x5 + x6 + (x3 + x4 + (x1 + x2)**2)**2)**8],"n2,n2,n2,add,add,x6,x5,n2,add,x4,add,x3,n2,add,x1,x2",17.32752683214577,17.32752683214577,False
17,0.8963022887521661,0,1,[(x5 + x6 + (x1 + x2)**2 + (x3**2 + x4)**2)**8],"n2,n2,n2,add,x5,add,x6,add,n2,add,n2,x3,x4,n2,add,x1,x2",3.2881669100806104,3.2881669100806104,False
18,0.9960751492653367,0,1,[(x1**2 + x2**2 + x3**2 + x4**2 + x5**2 + x6**2)**2],"n2,add,n2,x1,add,add,add,n2,x3,n2,x4,n2,x6,add,n2,x2,n2,x5",0.0,0.0,True
