r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success
0.0,0,1,[x8 - cos((-x12**2 + x7 + x8)**2)],"sub,x8,cos,n2,sub,x7,sub,n2,x12,x8",10.111106784548054,10.111106784548054,False
0.0,1,0,[(2*x1 - x8)**4],"n2,n2,sub,x1,sub,x8,sub,x1,sub,x8,x8",10.0,10.0,False
0.0,1,0,[x8*(x12 - x8 + (-x10 + x8)**2)**2],"mul,x8,n2,sub,x12,sub,x8,n2,sub,x8,x10",10.886934550540056,10.886934550540056,False
0.0,1,0,[x8*cos(x8**2)**2],"mul,x8,n2,cos,n2,sub,sub,x8,x8,x8",10.179931698808316,10.179931698808316,False
0.0,1,0,[x8 + (-2*x11 + x7 + x8)**2],"add,x8,n2,sub,x7,sub,x11,sub,x8,x11",10.062424725837273,10.062424725837273,False
0.0,1,0,[x8*(x8 - x9)**2],"mul,x8,n2,sub,x8,sub,x8,sub,x8,x9",10.206814567873046,10.206814567873046,False
0.0,1,0,[x2 - x8 + (x1 + x8**2 - x8)**2],"sub,x2,sub,x8,n2,sub,x1,sub,x8,n2,x8",10.208222493681829,10.208222493681829,False
0.0,3,0,[x8*cos(x8)**4],"mul,x8,n2,sub,x8,sub,x8,n2,cos,x8",10.099715220460773,10.099715220460773,False
0.0,1,0,[-x8**2*(x12**2 + x2 - x8)**4 + x8],"sub,x8,n2,mul,x8,n2,sub,x2,sub,x8,n2,x12",11.184621203333613,11.184621203333613,False
0.0,1,0,[-x8**2*(x8**2 - x8)**2 + x8],"sub,x8,n2,mul,x8,sub,mul,x8,x8,x8",10.584145592057009,10.584145592057009,False
0.0,1,0,[x8 - (x12 - x8 - sin(x12 - x4))**2],"sub,x8,n2,sub,x12,sub,x8,sin,sub,x4,x12",10.646687745596893,10.646687745596893,False
0.0,1,0,[x5 - cos((-x12**2 - x2 + 2*x8)**2)],"sub,x5,cos,n2,sub,x8,sub,x2,sub,x8,n2,x12",10.115765642342765,10.115765642342765,False
0.0,1,0,[x8],"sub,x8,n2,mul,sub,x8,x8,sub,x8,n2,x5",10.247676870971436,10.247676870971436,False
0.0,1,0,[x8*(x11 - x8*(-x4 + x8))**2],"mul,x8,n2,sub,x11,mul,x8,sub,x8,x4",10.205613308977021,10.205613308977021,False
0.0,1,0,[-x2**2*(x11 + x5 + x8**2 - x8)**2 + x8],"sub,x8,n2,mul,x2,sub,x11,sub,sub,x8,n2,x8,x5",10.585417881705828,10.585417881705828,False
0.0,1,0,[x8*(-x10**2 + x8)],"mul,x8,sub,x8,n2,sub,x10,sub,x8,x8",10.01211282965684,10.01211282965684,False
0.0,1,0,[x8 - (x8 - cos(x1**2))**2],"sub,x8,n2,sub,x8,cos,n2,sub,x8,sub,x8,x1",10.784861766051884,10.784861766051884,False
0.0,3,0,[x8*(x8 - cos((-x12 + x8)**2))**2],"mul,x8,n2,sub,x8,cos,n2,sub,x8,x12",10.447639925674624,10.447639925674624,False
0.0,1,0,[x8*cos(x8**4)],"mul,x8,cos,n2,sub,x8,sub,x8,n2,x8",10.22375331172821,10.22375331172821,False
0.0,1,0,[(x8 - (x5 + x8**2 - x8)**2)**2],"n2,sub,x8,n2,sub,x5,sub,x8,n2,x8",10.0,10.0,False
0.0,8,0,[x8 - (-x11 - x5**2 + 2*x8)**2],"sub,x8,n2,sub,x8,sub,x11,sub,x8,n2,x5",11.921628753711566,11.921628753711566,False
0.0,1,0,[x1 - x8**3],"sub,x1,mul,x8,n2,sub,x8,sub,x8,x8",10.286637956500702,10.286637956500702,False
0.0,2,0,[x9],"sub,x9,sub,x8,sub,x8,n2,sub,x8,x8",10.24623978177906,10.24623978177906,False
0.0,1,0,[-x11 + 2*x8 + (-x8**2 + x8)**2],"sub,x8,sub,x11,add,x8,n2,sub,x8,n2,x8",10.182690837345474,10.182690837345474,False
0.0,1,0,[x8**2*(x12 - x8**3)**2],"mul,mul,x8,x8,n2,sub,x12,mul,x8,n2,x8",10.0,10.0,False
0.0,1,0,[-x8**2 + x8],"sub,x8,n2,sub,mul,x11,sub,x8,x8,x8",10.412825720950716,10.412825720950716,False
0.0,1,0,[x8 - (x8 - cos(x12**2))**2],"sub,x8,n2,sub,x8,cos,n2,sub,sub,x8,x12,x8",10.78569536812786,10.78569536812786,False
0.0,1,0,[x8*(-x12 + x5)**2],"mul,x8,n2,sub,x8,sub,x8,sub,x5,x12",10.165831305726282,10.165831305726282,False
0.0,1,0,[x8 - (x7 + sin(x8**2 - x8))**2],"sub,x8,n2,sub,x7,sin,sub,x8,n2,x8",10.721385714400055,10.721385714400055,False
0.0,1,0,[x8 - cos(x4**4)**2],"sub,x8,n2,cos,n2,sub,sub,x8,x8,n2,x4",10.210681720619375,10.210681720619375,False
0.0,1,0,[sin(x8*(x1 + x8**2 - x8)**2)],"sin,mul,x8,n2,sub,x1,sub,x8,n2,x8",10.151106838564662,10.151106838564662,False
0.0,1,0,[(x8 - cos((-x12 + 2*x8)**2))**2],"n2,sub,x8,cos,n2,sub,x8,sub,x12,x8",10.406575668329161,10.406575668329161,False
0.0,1,0,[x8 - (x7 - cos(x8**2))**2],"sub,x8,n2,sub,x7,cos,n2,sub,x8,n2,sub,x8,x8",10.583080254033323,10.583080254033323,False
0.0,1,0,[x8 - cos(x4**2)**2],"sub,x8,n2,sub,cos,n2,x4,sub,x8,x8",10.18242967341148,10.18242967341148,False
0.0,1,0,[x8 - (-x4 + x9)**2],"sub,x8,n2,sub,x8,sub,x4,sub,x9,x8",10.772958047671155,10.772958047671155,False
0.0,1,0,[cos(x8 - (-x1**2 + x8)**2)],"cos,sub,x8,n2,sub,x8,sub,x8,sub,x8,n2,x1",10.429987256714256,10.429987256714256,False
0.0,1,0,[x12*(x8 - (x4 + x6 - x8)**2)],"mul,x12,sub,x8,n2,sub,x4,sub,x8,x6",10.290181967481846,10.290181967481846,False
0.0,8,0,[x8 - cos((x11 + x12**2 - x8)**2)**2],"sub,x8,n2,cos,n2,sub,x11,sub,x8,n2,x12",10.127390419834374,10.127390419834374,False
0.0,1,0,[x12 - x8*(x12 - x8**3)],"sub,x12,mul,x8,sub,x12,mul,x8,n2,x8",10.195620774386674,10.195620774386674,False
0.0,1,0,[x12 - x8 + cos((x4 - x8)**4)**2],"sub,x12,sub,x8,n2,cos,n2,n2,sub,x4,x8",10.467829880793705,10.467829880793705,False
0.0,1,0,[x9*(-x8**2*(-x4 + x8)**2 + x8)],"mul,x9,sub,x8,n2,mul,x8,sub,x8,x4",10.149594121622108,10.149594121622108,False
0.0,1,0,[x8 - cos((x1 + x12**2 - 2*x8)**2)**2],"sub,x8,n2,cos,n2,sub,sub,n2,x12,sub,x8,x1,x8",10.097368762190818,10.097368762190818,False
0.0,1,0,[-x12**2*x8**2*cos(x7**2)**4 + x8],"sub,x8,n2,mul,x12,mul,x8,n2,cos,n2,x7",10.288725003353175,10.288725003353175,False
0.0,1,0,[(x4 - cos(x12)**2)**2],"n2,sub,x4,sub,x8,sub,x8,n2,cos,x12",10.459910397889981,10.459910397889981,False
0.0,2,0,[x8 - (-x3 + x8)**4],"sub,x8,n2,sub,x8,sub,x8,n2,sub,x8,x3",11.2033447240701,11.2033447240701,False
0.0,1,0,[x12*x8**2 + x7],"sub,x7,mul,x12,sub,sub,x8,x8,n2,x8",10.265401483060344,10.265401483060344,False
0.0,1,0,[x8*(-x5**2 + x8)**2],"mul,x8,n2,sub,x8,n2,sub,x5,sub,x8,x8",10.282448098547132,10.282448098547132,False
0.0,1,0,[x10**2],"sub,x8,sub,x8,n2,sub,x8,sub,x8,x10",10.0,10.0,False
0.0,1,0,[x8*cos((x8 - (-x1**2 + x8)**2)**2)**2],"mul,x8,n2,cos,n2,sub,x8,n2,sub,x8,n2,x1",10.12922189288044,10.12922189288044,False
0.0,1,0,[x8*(x12**2 - x5)**2],"mul,x8,n2,sub,sub,x8,x5,sub,x8,n2,x12",10.131045829645414,10.131045829645414,False
0.0,1,0,[x8 - (-x1 - x8**2 + x8)**2],"sub,x8,n2,sub,x8,sub,x1,sub,x8,add,x8,n2,x8",10.994922659714684,10.994922659714684,False
0.0,1,0,[x8 - cos((x5 - x8 + (x11 - x8)**2)**2)**2],"sub,x8,n2,cos,n2,sub,x5,sub,x8,n2,sub,x11,x8",10.119943620239987,10.119943620239987,False
0.0,5,0,[x8 - cos((-x11 + x12 + x2)**2)**2],"sub,x8,n2,cos,n2,sub,x12,sub,x11,x2",10.145588850086526,10.145588850086526,False
0.0,2,0,[x8 - (x4 - x8 + (-x5**2 + x8)**2)**2],"sub,x8,n2,sub,x4,sub,x8,n2,sub,x8,n2,x5",11.91372458380594,11.91372458380594,False
0.0,1,0,[x8 - cos((-x12 + 2*x8)**2)**2],"sub,x8,n2,cos,n2,add,x8,sub,x8,x12",10.105551427597634,10.105551427597634,False
0.0,1,0,[-x10*(-x12**2 + x8) + x4],"sub,x4,mul,x10,sub,x8,sub,x8,sub,x8,n2,x12",10.29358378614927,10.29358378614927,False
0.0,4,0,[x8*(x1 - x12)**2],"mul,x8,n2,sub,x8,sub,x12,sub,x1,x8",10.165400209791953,10.165400209791953,False
0.0,1,0,[x8 - (x4 + 2*x8 - x9)**2],"sub,x8,n2,sub,x8,sub,x9,add,x4,x8",12.047540223401551,12.047540223401551,False
0.0,1,0,[x8 - (-x10 - x12**2 + 2*x8)**2],"sub,x8,n2,sub,x8,sub,x10,sub,x8,n2,x12",11.911598308071351,11.911598308071351,False
0.0,1,0,[cos(-x4 + x8 + (-x12**2 + x8)**2)],"cos,sub,sub,x4,x8,n2,sub,x8,n2,x12",10.372041771671766,10.372041771671766,False
0.0,1,0,[x8**2],"n2,sub,x8,sub,x8,sub,x8,mul,sub,x8,x8,n2,x8",10.0,10.0,False
0.0,1,0,[x8 - cos((x1**2 + x2 - x8)**2)**2],"sub,x8,n2,cos,n2,sub,x2,sub,x8,n2,x1",10.128257305718911,10.128257305718911,False
0.0,1,0,[x11 - cos(x8**4)],"sub,x11,cos,n2,sub,x8,sub,x8,n2,x8",10.226378708708573,10.226378708708573,False
0.0,2,0,[x8*cos(x11**2)**2],"mul,x8,n2,sub,x8,sub,x8,cos,n2,x11",10.20631413860453,10.20631413860453,False
0.0,1,0,[x8 - cos((-2*x11 + x2 - x4)**2)**2],"sub,x8,n2,cos,n2,sub,sub,sub,x2,x4,x11,x11",10.126249633673826,10.126249633673826,False
0.0,1,0,[x8 - sin(x8 - (x12**2 + x4 - x8)**2)],"sub,x8,sin,sub,x8,n2,sub,x4,sub,x8,n2,x12",10.113484617909187,10.113484617909187,False
0.0,3,0,[x4*(x12 - x8**2)],"mul,x4,sub,x12,sub,x8,sub,x8,n2,x8",10.152143148974643,10.152143148974643,False
0.0,1,0,[x8 - (x8 - cos(x12**4*x8**2))**2],"sub,x8,n2,sub,x8,cos,n2,mul,x8,n2,sub,x12,sub,x8,x8",10.889292363864914,10.889292363864914,False
0.0,1,0,[x5 - (-x4 + x9)**2*(-x8**2 + x8)],"sub,x5,mul,sub,x8,n2,x8,n2,sub,x9,x4",10.226630008851489,10.226630008851489,False
0.0,1,0,[x4 - x8 + (-x8**2 + x8)**2],"sub,x4,sub,x8,n2,sub,x8,n2,sub,x8,sub,x8,x8",10.307560566263113,10.307560566263113,False
0.0,1,0,[x8 - (x12**2 - x4 + x8)**2],"sub,x8,n2,sub,x8,sub,x4,sub,x8,sub,x8,n2,x12",10.926535426310242,10.926535426310242,False
0.0,0,1,[x12 - x8*cos(x12**4)**4],"sub,x12,mul,x8,n2,n2,cos,n2,n2,x12",10.332378646246324,10.332378646246324,False
0.0,1,0,[x12*(x8 - (x12 - x8)**2)],"mul,x12,sub,x8,n2,sub,x8,sub,x8,sub,x12,x8",10.25530704239304,10.25530704239304,False
0.0,1,0,[x1 + x5**4*x8**6 - x8],"sub,x1,sub,x8,n2,mul,x8,n2,mul,x8,x5",10.321329857808756,10.321329857808756,False
0.0,1,0,[x8*x9*(-x7**2*x8 + x8)],"mul,mul,x8,x9,sub,x8,mul,x8,n2,x7",10.055393406490188,10.055393406490188,False
0.0,1,0,[x5*cos((-x12**2 + x8)**2)],"mul,x5,sub,x8,sub,x8,cos,n2,sub,x8,n2,x12",10.208133757495345,10.208133757495345,False
0.0,1,0,[x8 - (-x8*(-x4 + x8)**2 + x8)**2],"sub,x8,n2,sub,x8,mul,x8,n2,sub,x8,x4",10.464207937164478,10.464207937164478,False
0.0,5,0,[x8 - (x8 - cos((-x11 + x8)**2))**2],"sub,x8,n2,sub,x8,cos,n2,sub,x8,x11",10.59560060846801,10.59560060846801,False
0.0,2,0,[x4 - x8 + (x8 - (x4 - x5)**2)**2],"sub,x4,sub,x8,n2,sub,x8,n2,sub,x4,x5",10.18821070173502,10.18821070173502,False
0.0,3,0,[x8 - (x2 - x8)**2],"sub,x8,n2,sub,x2,sub,x8,n2,sub,x8,x8",10.757991026090464,10.757991026090464,False
0.0,2,0,[x8*(-x1 - x4 + 2*x8)**2],"mul,x8,n2,sub,x8,sub,x4,sub,x8,x1",10.661394417609523,10.661394417609523,False
0.0,1,0,[x8 - (x2 - x8 + (x11 - x8)**2)**2],"sub,x8,n2,sub,x2,sub,x8,n2,sub,x11,x8",11.816606205324241,11.816606205324241,False
0.0,1,0,[x8 - (x6 - x8 + (x10 + x7 - cos(x5**2))**2)**2],"sub,x8,n2,sub,x6,sub,x8,n2,sub,x10,sub,cos,n2,x5,x7",15.12817779941405,15.12817779941405,False
0.0,1,0,[x8 - cos(x4**2)**2],"sub,x8,n2,cos,n2,sub,x4,n2,sub,x8,x8",10.18242967341148,10.18242967341148,False
0.0,7,0,[x2**2],"sub,x8,sub,x8,n2,sub,x8,sub,x8,x2",10.0,10.0,False
0.0,1,0,[-x8 + x9 + (x12 + x4 - x8)**2],"sub,x9,sub,x8,n2,sub,x12,sub,x8,x4",10.142572539592885,10.142572539592885,False
0.0,1,0,[(x8 - cos(x1**2))**2],"sub,x8,sub,x8,n2,sub,x8,cos,n2,x1",10.381826769184116,10.381826769184116,False
0.0,1,0,[x8 - (x12 - x8 + (x2 - x8)**2)**2],"sub,x8,n2,sub,x12,sub,x8,n2,sub,x2,x8",11.796080437273465,11.796080437273465,False
0.0,2,0,[x8 - cos(x8**2 - 2*x8)**2],"sub,x8,n2,cos,add,x8,sub,x8,n2,x8",10.068381041603843,10.068381041603843,False
0.0,1,0,[x8*(x12 - x8)**2],"mul,x8,n2,sub,sub,x8,x8,sub,x8,x12",10.205355207749895,10.205355207749895,False
0.0,0,1,[x8 - (x1 - cos(x9))**2],"sub,x8,n2,sub,x1,sub,x7,sub,x7,cos,x9",10.512739837511205,10.512739837511205,False
0.0,0,1,[x8 - (x11 - x7 + (-x12 + x2)**2)**2],"sub,x8,n2,sub,x11,sub,x7,n2,sub,x2,x12",11.830838650445639,11.830838650445639,False
0.0,0,1,[x8 - (x7 - cos((x7 - (-x10 + x11)**2)**2))**2],"sub,x8,n2,sub,x7,cos,n2,sub,x7,n2,sub,x11,x10",10.315314256134132,10.315314256134132,False
0.0,0,1,[x8 - cos((-x10 + x2 + x7)**2)**2],"sub,x8,n2,cos,n2,sub,x7,sub,x10,x2",10.145453913005053,10.145453913005053,False
0.0,0,1,[x8 - cos((-x10 + x2 + (-x10 + x12)**2)**2)**2],"sub,x8,n2,cos,n2,sub,n2,sub,x12,x10,sub,x10,x2",10.141970695170976,10.141970695170976,False
0.0,0,1,[-x1 + x8 - cos((x10 - x11 + x12)**2)],"sub,sub,x8,x1,cos,n2,sub,x12,sub,x11,x10",10.213282869348077,10.213282869348077,False
0.0,0,1,[x4*(x8 - (-x1 + x12 + x5)**2)],"mul,x4,sub,x8,n2,sub,x5,sub,x1,x12",10.295887214642967,10.295887214642967,False
0.0,0,1,[x8 - cos(x11 + x12 - x4 - x8)**2],"sub,x8,n2,cos,sub,x11,sub,x4,sub,x12,x8",10.094710911075323,10.094710911075323,False
