r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success
0.8517208783568145,0,1,[x5**2*(-x1**2 + x2)*(-x3**2 + x5)**2*(x4 - 2*x5 + x6)],"mul,sub,x2,n2,x1,mul,sub,add,x4,x6,add,x5,x5,n2,mul,sub,x5,n2,x3,x5",0.05114604476254106,0.05114604476254106,False
0.8517208783568145,0,1,[x5**2*(-x1**2 + x2)*(-x3**2 + x5)**2*(x4 - 2*x5 + x6)],"mul,sub,x2,n2,x1,mul,add,x6,sub,x4,add,x5,x5,n2,mul,sub,x5,n2,x3,x5",0.05114604476254106,0.05114604476254106,False
0.8517208783568145,0,1,[x5**2*(-x1**2 + x2)*(-x3**2 + x5)**2*(x4 - 2*x5 + x6)],"mul,sub,x2,n2,x1,mul,add,x6,sub,sub,x4,x5,x5,n2,mul,sub,x5,n2,x3,x5",0.05114604476254106,0.05114604476254106,False
0.8480700818241809,0,1,[x5**2*(-x1**2 + x2)*(-x3**4 + x5)**2*(x4 - x5 + x6**2)],"mul,sub,x2,n2,x1,mul,add,n2,x6,sub,x4,x5,n2,mul,sub,x5,n2,n2,x3,x5",0.047562893712620846,0.047562893712620846,False
0.8465482248312188,0,1,[x5**2*(-x1**4 + x2)*(-x3**4 + x5)**2*(x4 - x5 + x6)],"mul,sub,x2,n2,n2,x1,mul,add,x6,sub,x4,x5,n2,mul,sub,x5,n2,n2,x3,x5",0.02173801565998217,0.02173801565998217,False
0.8462521147598963,0,1,[x3**3*x6*(x3**2 + (x2**2*(x1 - x5)**2 + x4)**2)],"mul,x3,mul,mul,x3,x6,mul,add,n2,add,n2,mul,sub,x1,x5,x2,x4,n2,x3,x3",0.035807716126981935,0.035807716126981935,False
0.8433648162680852,0,1,[x5**2*(-x1**2 + x2)*(x3**2 + x5)**2*(x4 - 2*x5 + x6)],"mul,sub,x2,n2,x1,mul,add,x6,sub,x4,add,x5,x5,n2,mul,add,x5,n2,x3,x5",0.03724427994218773,0.03724427994218773,False
0.8433648162680852,0,1,[x5**2*(-x1**2 + x2)*(x3**2 + x5)**2*(x4 - 2*x5 + x6)],"mul,sub,x2,n2,x1,mul,add,x6,sub,sub,x4,x5,x5,n2,mul,add,x5,n2,x3,x5",0.03724427994218773,0.03724427994218773,False
0.8410398074794883,0,1,[x5**2*(x1**2 + x2)*(-x3**2 + x5)**2*(x4 - 2*x5 + x6)],"mul,add,x2,n2,x1,mul,add,x6,sub,sub,x4,x5,x5,n2,mul,sub,x5,n2,x3,x5",0.04405429526702737,0.04405429526702737,False
0.8410398074794883,0,1,[x5**2*(x1**2 + x2)*(-x3**2 + x5)**2*(x4 - 2*x5 + x6)],"mul,add,x2,n2,x1,mul,add,x6,sub,x4,add,x5,x5,n2,mul,sub,x5,n2,x3,x5",0.04405429526702737,0.04405429526702737,False
0.8408331929146164,0,1,[x3**3*x6*(x3**2 + (x2*(x1 - x5) + x4)**2)],"mul,x3,mul,mul,x3,x6,mul,add,n2,add,mul,sub,x1,x5,x2,x4,n2,x3,x3",0.03963161659815732,0.03963161659815732,False
0.8399301957302436,0,1,[x5**2*(-x1**2 + x2)*(-x1**2*x3**2 + x5)**2*(x4 - x5 + x6)],"mul,sub,x2,n2,x1,mul,add,x6,sub,x4,x5,n2,mul,sub,x5,n2,mul,x1,x3,x5",0.027445222553157157,0.027445222553157157,False
0.8398832688216277,0,1,[x5**2*(-x1**2 + x2)*(-x3**4 + x5)**2*(x4 - x5 + x6)],"mul,sub,x2,n2,x1,mul,add,x6,sub,x4,x5,n2,mul,sub,x5,n2,n2,x3,x5",0.02702796393808334,0.02702796393808334,False
