r_best,r_max,r_top,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
6.916451454162597656e-01,6.916451454162597656e-01,6.213766336441040039e-02,5.642668530344963074e-02,5.562487840652465820e-01,1.655636405944824219e+01,1.943636322021484375e+01,2.781243920326232910e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.102056980133056641e+00,1.121211647987365723e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.781243920326232910e-01,1.241445465087890625e+02
7.516220211982727051e-01,7.516220211982727051e-01,3.096944093704223633e-01,5.126975476741790771e-02,4.687171578407287598e-01,1.607272720336914062e+01,1.898181724548339844e+01,3.734207749366760254e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.951648950576782227e+00,1.140827178955078125e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.734207749366760254e-01,2.670243225097656250e+02
7.516220211982727051e-01,7.177964448928833008e-01,4.174445867538452148e-01,7.148628681898117065e-02,5.291683673858642578e-01,1.752181816101074219e+01,1.910909080505371094e+01,4.512945711612701416e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.926215052604675293e+00,8.999999761581420898e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.512945711612701416e-01,3.819533691406250000e+02
7.556464076042175293e-01,7.556464076042175293e-01,3.381185233592987061e-01,8.613610267639160156e-02,5.823309421539306641e-01,1.901091003417968750e+01,1.912727355957031250e+01,5.168127417564392090e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.880931854248046875e+00,1.200000047683715820e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.168127417564392090e-01,5.402597656250000000e+02
7.556464076042175293e-01,7.539794445037841797e-01,2.934143841266632080e-01,8.121792972087860107e-02,5.305004119873046875e-01,1.708545494079589844e+01,1.872727203369140625e+01,5.236565470695495605e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.866637349128723145e+00,1.600714445114135742e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.236565470695495605e-01,6.645238037109375000e+02
7.556464076042175293e-01,7.548326253890991211e-01,5.816776752471923828e-01,1.041992232203483582e-01,6.769669055938720703e-01,1.922909164428710938e+01,1.939285659790039062e+01,6.003117561340332031e-01,5.500000000000000000e+02,5.600000000000000000e+01,5.500000000000000000e+02,5.600000000000000000e+01,1.805376529693603516e+00,1.503442525863647461e+00,9.090908803045749664e-03,0.000000000000000000e+00,6.003117561340332031e-01,8.322611694335937500e+02
7.560686469078063965e-01,7.560686469078063965e-01,3.323614895343780518e-01,7.233847677707672119e-02,5.426678061485290527e-01,1.980727195739746094e+01,1.961818122863769531e+01,5.714897513389587402e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.729389548301696777e+00,1.277636289596557617e+00,3.454545512795448303e-02,0.000000000000000000e+00,5.714897513389587402e-01,1.000653869628906250e+03
7.566954493522644043e-01,7.566954493522644043e-01,5.522427558898925781e-01,1.255964487791061401e-01,6.808334589004516602e-01,1.937272644042968750e+01,1.961818122863769531e+01,6.261616349220275879e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.732315063476562500e+00,9.499999880790710449e-01,1.454545464366674423e-02,0.000000000000000000e+00,6.261616349220275879e-01,1.184525878906250000e+03
7.566954493522644043e-01,7.550150156021118164e-01,6.070157289505004883e-01,9.439536184072494507e-02,6.849927306175231934e-01,1.829999923706054688e+01,1.934545516967773438e+01,6.555771827697753906e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.783506989479064941e+00,8.500000238418579102e-01,7.272727321833372116e-03,0.000000000000000000e+00,6.555771827697753906e-01,1.319666137695312500e+03
7.566954493522644043e-01,7.548950910568237305e-01,6.006032824516296387e-01,1.101597994565963745e-01,6.632896065711975098e-01,1.892181777954101562e+01,1.929090881347656250e+01,6.594333648681640625e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.748623371124267578e+00,1.049999952316284180e+00,1.818181830458343029e-03,0.000000000000000000e+00,6.594333648681640625e-01,1.455119140625000000e+03
7.566954493522644043e-01,7.551769614219665527e-01,6.660408973693847656e-01,1.281342059373855591e-01,7.072113752365112305e-01,1.912545394897460938e+01,1.914545440673828125e+01,6.833223700523376465e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.725090742111206055e+00,8.999999761581420898e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.833223700523376465e-01,1.598665283203125000e+03
7.566954493522644043e-01,7.556810975074768066e-01,1.687447577714920044e-01,6.198994815349578857e-02,5.035648345947265625e-01,1.947090911865234375e+01,1.975000000000000000e+01,5.934436321258544922e-01,5.500000000000000000e+02,5.600000000000000000e+01,5.500000000000000000e+02,5.600000000000000000e+01,1.710221171379089355e+00,1.487451910972595215e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.934436321258544922e-01,1.771473632812500000e+03
7.566954493522644043e-01,7.564473152160644531e-01,5.874584913253784180e-01,1.030431166291236877e-01,6.808049082756042480e-01,1.962000083923339844e+01,1.978181838989257812e+01,6.371242403984069824e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.736315011978149414e+00,1.298181414604187012e+00,1.818181830458343029e-03,0.000000000000000000e+00,6.371242403984069824e-01,1.953767456054687500e+03
7.566954493522644043e-01,7.560191154479980469e-01,6.816301941871643066e-01,9.654679894447326660e-02,7.140391469001770020e-01,1.931636428833007812e+01,1.974545478820800781e+01,6.755816936492919922e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.641363501548767090e+00,6.000000238418579102e-01,2.181818149983882904e-02,0.000000000000000000e+00,6.755816936492919922e-01,2.133687255859375000e+03
7.566954493522644043e-01,7.546967864036560059e-01,6.002342700958251953e-01,1.240738183259963989e-01,7.105258703231811523e-01,1.918181800842285156e+01,1.927272796630859375e+01,6.930537819862365723e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.626852154731750488e+00,1.405753970146179199e+00,8.727272599935531616e-02,0.000000000000000000e+00,6.930537819862365723e-01,2.306136474609375000e+03
7.566954493522644043e-01,7.554550766944885254e-01,6.687982678413391113e-01,1.311466097831726074e-01,7.209288477897644043e-01,1.884181785583496094e+01,1.925454521179199219e+01,7.069913148880004883e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.633208513259887695e+00,1.490279674530029297e+00,5.090909078717231750e-02,0.000000000000000000e+00,7.069913148880004883e-01,2.480856201171875000e+03
7.566954493522644043e-01,7.564309239387512207e-01,6.478163599967956543e-01,1.197090372443199158e-01,7.329630851745605469e-01,1.931818199157714844e+01,1.979999923706054688e+01,7.199772000312805176e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.510728240013122559e+00,6.999999880790710449e-01,1.145454570651054382e-01,0.000000000000000000e+00,7.199772000312805176e-01,2.699148681640625000e+03
7.566954493522644043e-01,7.562534213066101074e-01,4.130652546882629395e-01,6.497591733932495117e-02,5.787007808685302734e-01,1.895090866088867188e+01,1.962500000000000000e+01,6.493389606475830078e-01,5.480000000000000000e+02,5.600000000000000000e+01,5.480000000000000000e+02,5.600000000000000000e+01,1.544256567955017090e+00,8.000000119209289551e-01,2.672727406024932861e-01,0.000000000000000000e+00,6.493389606475830078e-01,2.840781494140625000e+03
7.582916021347045898e-01,7.582916021347045898e-01,6.407432556152343750e-01,1.076928973197937012e-01,7.025350332260131836e-01,1.966909027099609375e+01,1.970909118652343750e+01,6.759369969367980957e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.534963488578796387e+00,8.000000119209289551e-01,1.636363565921783447e-01,0.000000000000000000e+00,6.759369969367980957e-01,2.989051757812500000e+03
7.582916021347045898e-01,7.581686973571777344e-01,7.142767310142517090e-01,1.618461161851882935e-01,7.378207445144653320e-01,1.849636268615722656e+01,1.947368431091308594e+01,7.068789005279541016e-01,5.490000000000000000e+02,5.700000000000000000e+01,5.480000000000000000e+02,5.700000000000000000e+01,1.604125142097473145e+00,8.000000119209289551e-01,5.454545374959707260e-03,0.000000000000000000e+00,7.068789005279541016e-01,3.128936523437500000e+03
7.582916021347045898e-01,7.554638385772705078e-01,6.453790664672851562e-01,1.215634196996688843e-01,7.208611369132995605e-01,1.874727249145507812e+01,1.949090957641601562e+01,7.138699889183044434e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.490000000000000000e+02,5.400000000000000000e+01,1.525833010673522949e+00,8.999999761581420898e-01,3.818181902170181274e-02,0.000000000000000000e+00,7.138699889183044434e-01,3.278681396484375000e+03
7.582916021347045898e-01,7.558718323707580566e-01,5.375207066535949707e-01,7.785512506961822510e-02,6.223292350769042969e-01,1.840363693237304688e+01,1.887272644042968750e+01,6.680996417999267578e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.490000000000000000e+02,5.500000000000000000e+01,1.666165471076965332e+00,8.500000238418579102e-01,3.036363720893859863e-01,0.000000000000000000e+00,6.680996417999267578e-01,3.420813476562500000e+03
7.707528471946716309e-01,7.707528471946716309e-01,6.380621790885925293e-01,9.259349852800369263e-02,7.000541687011718750e-01,1.826181793212890625e+01,1.949090957641601562e+01,6.840769052505493164e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.794482946395874023e+00,8.000000119209289551e-01,6.909091025590896606e-02,0.000000000000000000e+00,6.840769052505493164e-01,3.575055175781250000e+03
7.707528471946716309e-01,7.589069604873657227e-01,4.918032586574554443e-01,1.028404459357261658e-01,6.224498152732849121e-01,1.876000022888183594e+01,1.960000038146972656e+01,6.532633900642395020e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.805659770965576172e+00,1.463137269020080566e+00,9.090908803045749664e-03,0.000000000000000000e+00,6.532633900642395020e-01,3.742373291015625000e+03
