complexity,r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success
12,0.7912377116956117,0,1,[x2**2*x5**2*(x1 - x3*x4*x6)**2],"n2,mul,mul,sub,x1,mul,mul,x6,x4,x3,x2,x5",0.1292691084779839,0.1292691084779839,False
14,0.8081665894023297,0,1,[x3**2*x5**2*x6*(x1 - x2*x4 + x3)],"mul,n2,mul,x5,x3,mul,x6,sub,add,x3,x1,mul,x2,x4",0.028903555120296878,0.028903555120296878,False
15,0.8083023091367187,0,1,[x5**4*(x1*x3*x4*x6 - x2 + x5)**4],"n2,n2,mul,sub,add,mul,mul,mul,x3,x1,x4,x6,x5,x2,x5",0.006371125116731485,0.006371125116731485,False
16,0.8177144047499456,0,1,[x3**2*x6*(-x2 + x3)*(x1*x4*x5 + x3)**2],"mul,n2,mul,add,mul,mul,x4,x5,x1,x3,x3,mul,sub,x3,x2,x6",0.03031173860076409,0.03031173860076409,False
17,0.8391796243314612,0,1,[x3**3*x6*(x5**2 + (x1*x2 - x4)**2)],"mul,x3,mul,mul,x3,x6,mul,add,n2,sub,mul,x1,x2,x4,n2,x5,x3",0.037124119364305444,0.037124119364305444,False
18,0.8393476935891607,0,1,[x3**3*x6*(x5**2 + (x1**2*x2**2 + x4)**2)],"mul,x3,mul,mul,x3,x6,mul,add,n2,add,n2,mul,x1,x2,x4,n2,x5,x3",0.0372630408684391,0.0372630408684391,False
19,0.8408331929146164,0,1,[x3**3*x6*(x3**2 + (x2*(x1 - x5) + x4)**2)],"mul,x3,mul,mul,x3,x6,mul,add,n2,add,mul,sub,x1,x5,x2,x4,n2,x3,x3",0.03963161659815732,0.03963161659815732,False
20,0.8517208783568145,0,1,[x5**2*(-x1**2 + x2)*(-x3**2 + x5)**2*(x4 - 2*x5 + x6)],"mul,sub,x2,n2,x1,mul,add,x6,sub,x4,add,x5,x5,n2,mul,sub,x5,n2,x3,x5",0.05114604476254106,0.05114604476254106,False
