r_best,r_max,r_top,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
3.576962053775787354e-01,3.576962053775787354e-01,3.840124607086181641e-02,1.673924550414085388e-02,1.606764048337936401e-01,1.657636451721191406e+01,1.949090957641601562e+01,8.033820241689682007e-02,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.102071046829223633e+00,9.099877476692199707e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.033820241689682007e-02,1.352015686035156250e+02
7.437381148338317871e-01,7.437381148338317871e-01,2.672216892242431641e-01,4.156967997550964355e-02,3.749667108058929443e-01,1.795090866088867188e+01,1.972727203369140625e+01,2.276524603366851807e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.999473094940185547e+00,9.808453917503356934e-01,5.454545374959707260e-03,0.000000000000000000e+00,2.276524603366851807e-01,2.791347961425781250e+02
7.451673746109008789e-01,7.451673746109008789e-01,8.926212042570114136e-02,2.917443588376045227e-02,2.622160613536834717e-01,1.817818260192871094e+01,1.961818122863769531e+01,2.449342608451843262e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.952931880950927734e+00,1.472257137298583984e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.449342608451843262e-01,4.347685852050781250e+02
7.511863112449645996e-01,7.511863112449645996e-01,6.035717129707336426e-01,1.005257368087768555e-01,6.676331758499145508e-01,1.954181861877441406e+01,1.965454483032226562e+01,4.562837183475494385e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.679716467857360840e+00,1.273236036300659180e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.562837183475494385e-01,5.842371826171875000e+02
7.511863112449645996e-01,6.978144645690917969e-01,2.069568932056427002e-01,5.654502287507057190e-02,5.064795613288879395e-01,1.798545455932617188e+01,1.903636360168457031e+01,4.813816547393798828e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.994521379470825195e+00,9.890734553337097168e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.813816547393798828e-01,7.715470581054687500e+02
7.553708553314208984e-01,7.553708553314208984e-01,6.749684810638427734e-01,1.376158297061920166e-01,7.263549566268920898e-01,1.763636398315429688e+01,1.889090919494628906e+01,6.038683056831359863e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.973991990089416504e+00,1.642739772796630859e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.038683056831359863e-01,9.630188598632812500e+02
7.894437909126281738e-01,7.894437909126281738e-01,2.279852777719497681e-01,6.443904340267181396e-02,5.914676785469055176e-01,1.821999931335449219e+01,1.887272644042968750e+01,5.976679921150207520e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.729838371276855469e+00,1.681687712669372559e+00,1.818181830458343029e-03,0.000000000000000000e+00,5.976679921150207520e-01,1.157619506835937500e+03
7.894437909126281738e-01,7.894330620765686035e-01,7.458047866821289062e-01,1.537805199623107910e-01,7.660292387008666992e-01,1.783090972900390625e+01,1.936363601684570312e+01,6.818486452102661133e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.869039654731750488e+00,1.466891884803771973e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.818486452102661133e-01,1.352753906250000000e+03
7.894437909126281738e-01,7.577695846557617188e-01,8.485496789216995239e-02,2.041722647845745087e-02,1.765312254428863525e-01,1.877454566955566406e+01,1.949090957641601562e+01,4.291899204254150391e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.033070564270019531e+00,1.055571436882019043e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.291899204254150391e-01,1.502221191406250000e+03
7.894437909126281738e-01,7.542469501495361328e-01,2.308215498924255371e-01,4.971690475940704346e-02,4.262873232364654541e-01,1.897090911865234375e+01,1.923636436462402344e+01,4.277386367321014404e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.893189549446105957e+00,1.320979356765747070e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.277386367321014404e-01,1.639829589843750000e+03
7.894437909126281738e-01,7.560556530952453613e-01,4.166887700557708740e-01,7.160193473100662231e-02,5.664856433868408203e-01,1.843090820312500000e+01,1.963636398315429688e+01,4.971121251583099365e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.820159554481506348e+00,1.478134870529174805e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.971121251583099365e-01,1.833185180664062500e+03
7.894437909126281738e-01,7.548351287841796875e-01,3.978561460971832275e-01,5.556151643395423889e-02,4.735679030418395996e-01,1.677818107604980469e+01,1.954545402526855469e+01,4.853399991989135742e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.907621741294860840e+00,9.189011454582214355e-01,1.818181830458343029e-03,0.000000000000000000e+00,4.853399991989135742e-01,2.003246093750000000e+03
7.894437909126281738e-01,7.877954244613647461e-01,6.629404425621032715e-01,8.709377795457839966e-02,7.210188508033752441e-01,1.676363563537597656e+01,1.935714340209960938e+01,6.031794548034667969e-01,5.500000000000000000e+02,5.600000000000000000e+01,5.500000000000000000e+02,5.600000000000000000e+01,1.934617042541503906e+00,6.999999880790710449e-01,1.272727269679307938e-02,0.000000000000000000e+00,6.031794548034667969e-01,2.176087890625000000e+03
7.894437909126281738e-01,7.635674476623535156e-01,4.042731523513793945e-01,7.069746404886245728e-02,6.742770075798034668e-01,1.740909004211425781e+01,1.950909042358398438e+01,6.387282013893127441e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.892110109329223633e+00,6.499999761581420898e-01,1.999999955296516418e-02,0.000000000000000000e+00,6.387282013893127441e-01,2.331631835937500000e+03
7.894437909126281738e-01,7.740870118141174316e-01,6.659812927246093750e-01,9.605438262224197388e-02,7.352839708328247070e-01,1.898545455932617188e+01,1.907272720336914062e+01,6.870061159133911133e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.812544703483581543e+00,1.318107366561889648e+00,5.454545374959707260e-03,0.000000000000000000e+00,6.870061159133911133e-01,2.488633300781250000e+03
7.894437909126281738e-01,7.545841336250305176e-01,3.156533539295196533e-01,6.692266464233398438e-02,5.515706539154052734e-01,1.914909172058105469e+01,1.929090881347656250e+01,6.192883849143981934e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.918403267860412598e+00,1.200000047683715820e+00,3.636363660916686058e-03,0.000000000000000000e+00,6.192883849143981934e-01,2.658469726562500000e+03
7.894437909126281738e-01,7.592030167579650879e-01,4.053736329078674316e-01,7.217632234096527100e-02,6.533766388893127441e-01,1.957454490661621094e+01,1.939999961853027344e+01,6.363325119018554688e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.857751965522766113e+00,5.500000119209289551e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.363325119018554688e-01,2.816516845703125000e+03
7.894437909126281738e-01,7.550269961357116699e-01,3.387185931205749512e-01,5.677068606019020081e-02,4.775562286376953125e-01,1.948908996582031250e+01,1.979999923706054688e+01,5.569443702697753906e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.747314453125000000e+00,1.065126776695251465e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.569443702697753906e-01,2.975621582031250000e+03
7.894437909126281738e-01,7.621284127235412598e-01,4.295323789119720459e-01,8.804193139076232910e-02,6.211373209953308105e-01,1.906181907653808594e+01,1.939999961853027344e+01,5.890408754348754883e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.801349759101867676e+00,1.619824290275573730e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.890408754348754883e-01,3.150700683593750000e+03
7.894437909126281738e-01,7.550916671752929688e-01,1.883236020803451538e-01,3.966872021555900574e-02,3.649773299694061279e-01,1.797090911865234375e+01,1.930909156799316406e+01,4.770090878009796143e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.821392059326171875e+00,1.382128477096557617e+00,5.454545374959707260e-03,0.000000000000000000e+00,4.770090878009796143e-01,3.350727294921875000e+03
7.894437909126281738e-01,7.558141350746154785e-01,3.210429251194000244e-01,6.108706071972846985e-02,4.960168302059173584e-01,1.852909088134765625e+01,1.912068939208984375e+01,4.865129590034484863e-01,5.500000000000000000e+02,5.800000000000000000e+01,5.500000000000000000e+02,5.800000000000000000e+01,1.848806858062744141e+00,1.385537981986999512e+00,7.272727321833372116e-03,0.000000000000000000e+00,4.865129590034484863e-01,3.524758056640625000e+03
7.894437909126281738e-01,7.551472187042236328e-01,2.540645003318786621e-01,5.974382162094116211e-02,5.005356669425964355e-01,1.899090957641601562e+01,1.949090957641601562e+01,4.935243129730224609e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.898020744323730469e+00,1.625602722167968750e+00,1.818181830458343029e-03,0.000000000000000000e+00,4.935243129730224609e-01,3.758532226562500000e+03
7.894437909126281738e-01,7.551832795143127441e-01,5.392173528671264648e-01,1.062571853399276733e-01,7.045868635177612305e-01,1.934545516967773438e+01,1.967272758483886719e+01,5.990555882453918457e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.820367813110351562e+00,1.627610564231872559e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.990555882453918457e-01,3.962952880859375000e+03
7.894437909126281738e-01,7.566364407539367676e-01,4.646335244178771973e-01,7.655632495880126953e-02,5.878633260726928711e-01,1.955818176269531250e+01,1.954545402526855469e+01,5.934594273567199707e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.770987749099731445e+00,1.273007750511169434e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.934594273567199707e-01,4.129729980468750000e+03
