complexity,r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success
12,0.7878002765564368,0,1,[(-x1*x2*x5 + x3*x4*x6)**2],"n2,sub,mul,mul,x3,x6,x4,mul,x2,mul,x5,x1",0.04595274036559372,0.04595274036559372,False
14,0.7962279982812196,0,1,[x1**2*(-x2 + x5)**2*(-x5 + x6*(x3 - x4))**2],"n2,mul,sub,x5,x2,mul,x1,sub,mul,x6,sub,x3,x4,x5",0.1116773371449497,0.1116773371449497,False
15,0.8121932729044148,0,1,[x2*x5**4*(x1*x3*x4*x6 - x5)],"mul,mul,n2,n2,x5,x2,sub,mul,x6,mul,mul,x4,x1,x3,x5",0.0010486750206676059,0.0010486750206676059,False
16,0.824097339582449,0,1,[x5**2*(-x2 + x5)**2*(-x1*x3*(x4 + x6) + x5)**2],"n2,mul,sub,x5,mul,x1,mul,x3,add,x6,x4,mul,sub,x5,x2,x5",0.0042777526887706075,0.0042777526887706075,False
17,0.8427280239216631,0,1,[x5**2*(x2 - x5 - (x4 + x6)**2*(x1*x3 - x2))**2],"n2,mul,x5,sub,sub,x2,mul,sub,mul,x1,x3,x2,n2,add,x6,x4,x5",0.06141773419115797,0.06141773419115797,False
18,0.8516376547856006,0,1,[x5**2*(x2 - x5 - (-x4 + x6**2)**2*(x1*x3 - x2))**2],"n2,mul,sub,sub,x2,mul,sub,mul,x1,x3,x2,n2,sub,n2,x6,x4,x5,x5",0.06939049073058555,0.06939049073058555,False
19,0.8549029664833541,0,1,[x5**2*(x2 - x5 - (-x4 + x6**4)**2*(x1*x3 - x2))**2],"n2,mul,sub,sub,x2,mul,sub,mul,x1,x3,x2,n2,sub,n2,n2,x6,x4,x5,x5",0.06797301402336246,0.06797301402336246,False
20,0.8576686403784032,0,1,[x5**2*(x2 - x5 - (x4 + x6**4)**2*(x1*x3**2 - x2))**2],"n2,mul,sub,sub,x2,mul,sub,mul,x1,n2,x3,x2,n2,add,n2,n2,x6,x4,x5,x5",0.06907077844940113,0.06907077844940113,False
