r_best,r_max,r_top,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
1.541385194286704063e-03,1.541385194286704063e-03,0.000000000000000000e+00,1.257155672647058964e-04,1.257155672647058964e-04,1.099818134307861328e+01,1.099818134307861328e+01,6.285778363235294819e-05,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,2.270756244659423828e+00,2.270756244659423828e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.285778363235294819e-05,8.336408233642578125e+01
1.683118869550526142e-03,1.683118869550526142e-03,3.555696457624435425e-05,8.953915676102042198e-05,8.953914511948823929e-04,1.189999961853027344e+01,1.396363639831542969e+01,4.791246319655328989e-04,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.987061977386474609e+00,1.049088478088378906e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.791246319655328989e-04,1.486952972412109375e+02
1.701892586424946785e-03,1.701892586424946785e-03,6.519716698676347733e-04,1.285796024603769183e-04,1.271539018489420414e-03,1.261999988555908203e+01,1.452727317810058594e+01,8.753318106755614281e-04,5.500000000000000000e+02,5.500000000000000000e+01,5.490000000000000000e+02,5.500000000000000000e+01,1.832103252410888672e+00,1.176957130432128906e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.753318106755614281e-04,2.217698364257812500e+02
1.742276013828814030e-03,1.742276013828814030e-03,7.097355555742979050e-04,1.307310885749757290e-04,1.200467930175364017e-03,1.388181781768798828e+01,1.496551704406738281e+01,1.037899870425462723e-03,5.480000000000000000e+02,5.800000000000000000e+01,5.420000000000000000e+02,5.800000000000000000e+01,1.553368210792541504e+00,5.333333611488342285e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.037899870425462723e-03,2.924835510253906250e+02
1.746126334182918072e-03,1.746126334182918072e-03,6.612689467146992683e-04,1.308756618527695537e-04,1.296712900511920452e-03,1.155818176269531250e+01,1.456363677978515625e+01,1.167306443676352501e-03,4.840000000000000000e+02,5.500000000000000000e+01,4.680000000000000000e+02,5.500000000000000000e+01,1.600731253623962402e+00,6.000000238418579102e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.167306443676352501e-03,3.663468627929687500e+02
1.746126334182918072e-03,1.623929827474057674e-03,1.133625744841992855e-03,1.427009119652211666e-04,1.374339801259338856e-03,1.396000003814697266e+01,1.438181781768798828e+01,1.270823064260184765e-03,5.490000000000000000e+02,5.500000000000000000e+01,5.320000000000000000e+02,5.500000000000000000e+01,1.563357114791870117e+00,6.000000238418579102e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.270823064260184765e-03,4.438446044921875000e+02
1.746126334182918072e-03,1.628869678825139999e-03,9.879613062366843224e-04,1.438316976418718696e-04,1.348687801510095596e-03,1.407636356353759766e+01,1.455357170104980469e+01,1.309755374677479267e-03,5.470000000000000000e+02,5.600000000000000000e+01,5.430000000000000000e+02,5.600000000000000000e+01,1.534195065498352051e+00,6.000000238418579102e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.309755374677479267e-03,5.185307617187500000e+02
1.746126334182918072e-03,1.714744605123996735e-03,1.176539342850446701e-03,2.261819317936897278e-04,1.391049241647124290e-03,1.442727279663085938e+01,1.453125000000000000e+01,1.350402366369962692e-03,5.280000000000000000e+02,5.600000000000000000e+01,5.120000000000000000e+02,4.900000000000000000e+01,1.334915161132812500e+00,9.304099678993225098e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.350402366369962692e-03,6.044310913085937500e+02
1.746126334182918072e-03,1.421394059434533119e-03,1.054564956575632095e-03,2.802747185342013836e-04,1.257887342944741249e-03,1.454909133911132812e+01,1.463636398315429688e+01,1.304144854657351971e-03,4.570000000000000000e+02,5.300000000000000000e+01,4.080000000000000000e+02,3.700000000000000000e+01,1.260649681091308594e+00,6.000000238418579102e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.304144854657351971e-03,6.963743286132812500e+02
1.746126334182918072e-03,1.691575860604643822e-03,1.133914105594158173e-03,2.087001194013282657e-04,1.291456981562077999e-03,1.461090946197509766e+01,1.460000038146972656e+01,1.297800918109714985e-03,5.140000000000000000e+02,5.500000000000000000e+01,4.540000000000000000e+02,3.500000000000000000e+01,1.264112591743469238e+00,5.333333611488342285e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.297800918109714985e-03,7.776479492187500000e+02
