complexity,r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success
6,0.0,1,0,[x2**2],"n2,sub,x2,sub,x2,x2",10.0,10.0,False
11,0.0018113667709999295,0,1,[x1 + x2 + x3 + x4 + x5 + x6],"add,add,x6,add,add,x4,add,x2,x1,x3,x5",394.6150985540997,394.6150985540997,False
13,0.001836723583819373,0,1,[2*x1 + x2 + x3 + x4 + x5 + x6],"add,add,x6,add,add,x4,add,x2,add,x1,x1,x3,x5",386.68753049078356,386.68753049078356,False
15,0.0025568893008274017,0,1,[x1 + x2 + x3 + x4 + x5 + x6 + cos(x6)],"add,x6,add,x2,add,add,add,add,x5,x3,x1,cos,x6,x4",273.6622257072292,273.6622257072292,False
16,0.008221158589389845,0,1,[cos(x2)**2*cos(-x1 + x3 + x4 - x5 + x6)**2],"n2,mul,cos,x2,cos,sub,add,sub,x5,x3,sub,x1,x6,x4",283.9757678107302,283.9757678107302,False
17,0.048810029730711545,0,1,[sin(-x2 + x3 + x4 + x5 + x6)**4*cos(x1)**4],"n2,n2,mul,sin,sub,add,add,add,x3,x5,x6,x4,x2,cos,x1",434.9918108833441,434.9918108833441,False
