r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success
0.0,0,1,[x8 - cos((x10 - x11 + x8)**2)**2],"sub,x8,n2,cos,n2,sub,sub,x12,sub,x12,x8,sub,x11,x10",10.141467983564548,10.141467983564548,False
0.0,0,1,[x6 + sin(x12 + x8**2)],"sub,x6,sin,sub,x4,add,add,n2,x8,x12,x4",10.206886198299431,10.206886198299431,False
0.0,0,1,[x1*x5 - (x1 - x3**2 + x8)**4],"sub,mul,x5,x1,n2,n2,sub,x1,sub,n2,x3,x8",12.017334373841436,12.017334373841436,False
0.0,0,1,[-x11 + x12 - cos((2*x12 - x3)**4)**4],"sub,sub,x12,x11,n2,n2,cos,n2,n2,sub,x12,sub,x3,x12",10.19514833917534,10.19514833917534,False
0.0,0,1,[x5 - sin(x12) - sin(x11*x12**2*(x1 - x4))],"sub,sub,x5,sin,x12,sin,mul,sub,x1,x4,mul,x11,n2,x12",10.322517019318301,10.322517019318301,False
0.0,0,1,[-x11 + x2 + x4 - x5 - x7 - x9],"sub,sub,x2,add,x11,x5,sub,sub,x5,x5,sub,sub,x4,x7,x9",10.573713853239395,10.573713853239395,False
0.0,0,1,[-x2**8*(-x10*x12 + x3)**16 + x8],"sub,x8,n2,n2,n2,mul,x2,n2,sub,x3,mul,x12,x10",15.549385744859997,15.549385744859997,False
0.0,0,1,[x6],"sub,x6,n2,n2,n2,mul,x2,n2,sub,x12,x12",10.248974011590333,10.248974011590333,False
0.0,0,1,[x5*x9**4*(x12 - (x7 - x8)**2)**4],"mul,x5,n2,n2,mul,x9,sub,x12,n2,sub,x7,x8",10.42531634462813,10.42531634462813,False
0.0,0,1,[x2 + x4 - sin(x10) + sin(x12 - x2)],"sub,sub,add,x4,x2,sin,x10,sin,sub,x2,x12",10.367685010172252,10.367685010172252,False
0.0,0,1,[-x12 + x8**2 - (x12 - x3 - x8**2)**8],"sub,sub,n2,x8,x12,n2,n2,n2,sub,sub,x12,n2,x8,x3",38.50765959674426,38.50765959674426,False
0.0,0,1,[x8 - (-x12 + x4**2*(x2 + x5)**2)**2],"sub,x8,n2,sub,n2,mul,add,x5,x2,x4,x12",10.670905184743834,10.670905184743834,False
0.0,0,1,[x1 + x5 - x9 - (-x4 + cos(x12) - cos(x2))**2],"sub,add,sub,x1,x9,x5,n2,sub,sub,cos,x12,x4,cos,x2",10.644539624472252,10.644539624472252,False
0.0,0,1,[x2 - x7*cos(x3 - (x12*x5 - x8)**2)**2],"sub,x2,mul,x7,n2,cos,sub,n2,sub,mul,x5,x12,x8,x3",10.296120184245321,10.296120184245321,False
0.0,0,1,[x9*(x12**2 - (-x10 + x11 - x7 + x8)**2)],"mul,x9,sub,n2,x12,n2,sub,x8,add,x7,sub,x10,x11",10.302936474486557,10.302936474486557,False
0.0,0,1,[x11 + x5 - x8 - (-x4 + cos(x12) - cos(x2))**2],"sub,add,sub,x11,x8,x5,n2,sub,sub,cos,x12,x4,cos,x2",10.645673970398546,10.645673970398546,False
0.0,0,1,[(x3**2*x6 + x8*x9*sin(x10**2))**2],"n2,add,mul,n2,x3,x6,mul,x9,mul,sin,n2,x10,x8",10.0,10.0,False
0.0,0,1,[x1**2 - (x1 - x4)*(x11 + x5)],"sub,n2,x1,mul,sub,x1,x4,add,x11,x5",10.124651718994944,10.124651718994944,False
0.0,0,1,[-x12*x2*x4 + x4 + x5 - sin(x10*x12)],"sub,sub,add,x4,x5,sin,mul,x10,x12,mul,x4,mul,x2,x12",10.361331177913073,10.361331177913073,False
0.0,0,1,[-x10 + x2 - (2*x1 + x12**2 - x9)**2],"sub,sub,x2,x10,n2,add,x1,sub,n2,x12,sub,x9,x1",11.979817399792307,11.979817399792307,False
0.0,0,1,[-x10 - x3*x9 + x5 - x7],"sub,sub,x5,add,x12,x10,sub,x7,sub,x12,mul,x3,x9",10.426066606727677,10.426066606727677,False
0.0,0,1,[-x1 + x2 - x8 - cos(x10 + x5)**4],"sub,sub,sub,x2,x8,x1,n2,n2,cos,add,x5,x10",10.222672491533189,10.222672491533189,False
0.0,0,1,[-sin(-x12 - x2 + x5*x7 + x8 + x9)],"sin,add,x2,sub,sub,sub,x12,x9,x8,mul,x5,x7",10.31547129504275,10.31547129504275,False
0.0,0,1,[x2*(x11 + x8) - x7 - sin(x5 - x7)],"sub,mul,x2,add,x11,x8,sub,x7,sin,sub,x7,x5",10.266389235671692,10.266389235671692,False
0.0,0,1,[x8**2 - (x10*sin(x10) + x12**2 + x3 - x8)**2],"sub,n2,x8,n2,add,mul,x10,sin,x10,sub,x3,sub,x8,n2,x12",10.999814994231771,10.999814994231771,False
0.0,0,1,[-x12 + x2 + sin(-x12 + x5 + x9**2)**2],"sub,x2,sub,x12,n2,sin,sub,x12,add,n2,x9,x5",10.2029809707487,10.2029809707487,False
0.0,0,1,[x11**2 - cos(x11**4)**2],"sub,n2,x11,n2,cos,n2,sub,n2,x11,sub,x12,x12",10.0,10.0,False
0.0,0,1,[-x12 + x2 + (x12 - x5 - x9)**2],"sub,x2,sub,x12,n2,sub,x12,add,x9,x5",10.14524151010937,10.14524151010937,False
0.0,0,1,[x10 - cos(x6 + (x7 - x9)**2)**2],"sub,x10,n2,cos,add,n2,sub,x7,x9,x6",10.118099325290046,10.118099325290046,False
0.0,0,1,[x12**4 - (-x11 + x12**2)**4*(-x6 + x8**2)**2],"sub,n2,n2,x12,n2,mul,n2,sub,n2,x12,x11,sub,n2,x8,x6",10.309829863876766,10.309829863876766,False
0.0,0,1,[x2 - cos((-x12 + x8**2 + x8)**2)**2],"sub,x2,n2,cos,n2,sub,n2,x8,sub,x12,x8",10.159137473872008,10.159137473872008,False
0.0,0,1,[-(x1 - x12**2 - x3 + x8)**4 + cos(x8)],"sub,cos,x8,n2,n2,sub,x1,add,x3,sub,n2,x12,x8",14.126377512592713,14.126377512592713,False
0.0,0,1,[-sin(x10 - x12 + x3 + x4 - x6)],"sin,sub,add,x12,x6,add,x10,add,x3,x4",10.318745243668708,10.318745243668708,False
0.0,0,1,[x1**2 - x11*x12*(-x12 + x6)],"sub,n2,x1,mul,sub,x6,x12,mul,x12,x11",10.043351949771564,10.043351949771564,False
0.0,0,1,[-x12 + x2 + (-x1 + x10)**2 - sin(x1**2*x4**2)],"sub,x2,sub,add,x12,sin,n2,mul,x1,x4,n2,sub,x10,x1",10.205761002194784,10.205761002194784,False
