complexity,r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success
12,0.3314402804137554,0,1,[-x1 + x3 - x5 + x6 + (x2 + x4)**2],"add,sub,n2,add,x2,x4,add,sub,x5,x6,x1,x3",2.847111284816302,2.847111284816302,False
13,0.8500564173375375,0,1,[-x1 + x2**2 - x3 + x4**2 + x5 + x6],"add,sub,x6,x3,sub,add,n2,x4,add,n2,x2,x5,x1",0.7477763739633694,0.7477763739633694,False
14,0.985241178784554,0,1,[x1**2 + x2**2 + x3 + x4**2 + x5 + x6],"add,x5,add,n2,x4,add,add,add,n2,x1,n2,x2,x6,x3",0.02523328911263755,0.02523328911263755,False
15,0.9975294986644219,0,1,[x1**2 + x2**2 + x3 + x4**2 + x5 + x6**2],"add,x5,add,n2,x4,add,add,add,n2,x1,n2,x2,n2,x6,x3",0.025114139932417148,0.025114139932417148,False
16,0.9999161085060941,0,1,[x2**2 + x4**2 + x5**2 + x6**2 + (x1 + x3)**2],"add,n2,x6,add,n2,x4,add,add,n2,x2,n2,x5,n2,add,x3,x1",0.003909503703759193,0.003909503703759193,False
17,0.9999602451382469,0,1,[x1**2 + x2**2 + x3**2 + x4**2 + x5**2 + x6**2],"add,n2,x5,add,n2,x4,add,add,n2,x1,n2,x6,add,n2,x2,n2,x3",0.0,0.0,True
18,1.0,0,1,[x2**2 + x4**2 + x5**2 + x6**2 + (x1 + cos(x3))**2],"add,n2,x6,add,n2,x4,add,add,n2,x2,n2,x5,n2,add,cos,x3,x1",0.011408542840516858,0.011408542840516858,False
